date,campaign_id,seller_id,category,daily_budget,ad_spend,impressions,clicks,orders,attributed_sales
2024-05-09,C1155,S2119,Sports,1639.91,933.34,7393,95,5,6843.71
2024-05-04,C1059,S2046,Beauty,3676.12,3129.8,44781,398,9,12438.79
2024-04-16,C1101,S2078,Fashion,2094.67,893.62,7371,70,1,878.45
2024-05-02,C1036,S2026,Home,994.55,994.55,7117,73,0,0.0
2024-06-01,C1087,S2068,Beauty,508.24,163.27,940,11,0,0.0
2024-06-04,C1022,S2017,Electronics,806.78,373.54,4261,22,0,0.0
2024-06-16,C1026,S2020,Electronics,34570.6,12055.75,,788,53,108302.13
2024-06-06,C1015,S2011,Sports,4710.93,2398.44,40346,188,10,14832.92
2024-04-05,C1108,S2083,Home,2793.01,1231.48,11621,138,6,10043.49
2024-05-29,C1085,S2066,Toys,1706.46,1172.39,18888,157,8,5709.51
2024-04-16,C1012,S2008,Sports,493.27,493.27,5224,48,1,1503.38
2024-04-24,C1071,S2054,Electronics,3528.49,1839.57,14519,85,9,25071.5
2024-06-15,C1023,S2017,Home,810.55,402.52,2999,27,1,2549.06
2024-04-21,C1023,S2017,Home,810.55,387.25,3760,28,3,7394.76
2024-05-29,C1106,S2082,Beauty,1077.61,497.92,4505,37,3,4292.41
2024-06-02,C1039,S2029,Electronics,315.53,111.05,1056,5,1,2581.82
2024-05-28,C1104,S2081,Sports,3280.31,1334.32,15481,113,6,8304.8
2024-04-29,C1020,S2015,Home,6106.64,6106.64,84670,549,3,4873.56
2024-05-28,C1054,S2042,Sports,1370.16,828.57,9829,73,2,2552.11
2024-06-02,C1066,S2050,Beauty,2220.85,1847.49,11524,127,4,5465.79
2024-04-29,C1155,S2119,Sports,1639.91,952.46,8083,95,3,4276.58
2024-05-09,C1064,S2049,Home,293.65,146.59,1123,13,1,1601.85
2024-04-02,C1090,S2071,Electronics,927.44,618.83,7212,46,1,2524.03
2024-04-11,C1123,S2095,Electronics,853.95,568.55,4473,25,0,0.0
2024-06-10,C1049,S2037,Electronics,7592.47,7066.34,69331,419,28,73574.97
2024-05-21,C1143,S2110,Sports,1197.67,522.65,10622,41,3,4354.36
2024-06-14,C1004,S2003,Electronics,382.12,319.85,2665,14,0,0.0
2024-05-01,C1066,S2050,Beauty,2220.85,2220.85,16743,176,4,5764.3
2024-05-13,C1010,S2007,Fashion,9480.63,4022.26,18355,222,16,13900.28
2024-06-17,C1021,S2016,Beauty,29378.01,13092.87,182348,1019,60,92124.42
2024-05-20,C1141,S2108,Fashion,1130.98,754.8,5369,49,2,1792.06
2024-05-30,C1109,S2084,Home,10186.39,5238.7,46270,423,11,16548.64
2024-05-26,C1138,S2106,Beauty,2302.32,893.67,7834,74,4,5626.29
2024-06-17,C1070,S2053,Sports,142.38,66.74,1558,8,1,1867.79
2024-06-09,C1085,S2066,Toys,1706.46,922.98,12755,108,11,7757.96
2024-04-20,C1089,S2070,Electronics,546.53,226.93,1123,11,1,1735.95
2024-05-25,C1112,S2086,Beauty,5328.38,4778.5,49992,325,31,58633.22
2024-05-27,C1080,S2061,Toys,5727.31,3160.74,67157,360,25,13433.25
2024-05-31,C1049,S2037,Electronics,7592.47,7592.47,78457,464,20,48460.94
2024-06-11,C1161,S2125,Fashion,1108.43,674.48,2344,38,2,1667.93
2024-06-11,C1107,S2082,Sports,324.12,324.12,5205,35,0,0.0
2024-04-12,C1049,S2037,Electronics,7592.47,7592.47,78988,591,28,69426.29
2024-04-17,C1047,S2035,Beauty,7572.74,4167.21,29716,356,15,19489.43
2024-04-02,C1028,S2021,Home,4175.95,2025.57,28775,185,6,9013.23
2024-04-25,C1095,S2075,Sports,1554.33,737.6,8379,49,4,5610.87
2024-05-11,C1065,S2050,Home,4230.34,1721.45,30512,136,4,5390.45
2024-05-23,C1108,S2083,Home,2793.01,1571.09,11644,154,2,3620.09
2024-06-08,C1055,S2043,Beauty,2688.05,781.3,4954,44,3,3742.24
2024-04-03,C1094,S2074,Electronics,4271.26,2082.42,17352,92,9,25385.21
2024-06-20,C1132,S2102,Beauty,1755.9,811.84,5619,47,6,5779.47
2024-05-24,C1004,S2003,Electronics,382.12,382.12,3226,20,0,0.0
2024-06-05,C1147,S2114,Home,1749.71,743.01,6250,56,2,2543.4
2024-05-01,C1136,S2104,Home,1983.86,1215.62,15620,105,9,14642.9
2024-06-21,C1010,S2007,Fashion,9480.63,5501.56,22882,282,19,17429.04
2024-05-14,C1133,S2103,Beauty,5212.11,2382.04,30233,208,8,12268.97
2024-05-14,C1003,S2002,Sports,732.87,432.97,5397,40,0,0.0
2024-05-16,C1027,S2020,Beauty,59054.17,24934.62,161549,1669,183,287018.03
2024-06-05,C1116,S2089,Beauty,1712.87,824.63,7119,66,8,13869.23
2024-05-18,C1003,S2002,Sports,732.87,356.26,3833,34,0,0.0
2024-05-10,C1035,S2025,Beauty,1898.35,842.16,7605,44,2,2194.68
2024-04-02,C1134,S2103,Fashion,4914.35,1985.19,21914,145,11,8534.47
2024-05-31,C1105,S2081,Electronics,1392.46,1392.46,6506,54,1,2710.75
2024-04-14,C1097,S2076,Electronics,5959.98,2496.8,21571,154,15,32177.56
2024-06-17,C1094,S2074,Electronics,4271.26,1696.48,9096,50,8,19095.34
2024-04-25,C1081,S2062,Electronics,704.63,405.17,3831,21,1,2762.71
2024-05-10,C1050,S2038,Fashion,6773.51,6773.51,26962,336,4,4170.46
2024-06-02,C1111,S2085,Sports,765.0,386.21,5542,50,1,1539.32
2024-05-20,C1148,S2115,Home,2080.53,1372.52,15762,115,6,11496.98
2024-05-18,C1098,S2076,Beauty,7223.9,2294.3,12031,113,10,10006.6
2024-04-29,C1051,S2039,Electronics,5537.57,5537.57,53865,297,12,28965.3
2024-04-02,C1009,S2006,Electronics,1990.26,1153.05,9461,82,4,10435.77
2024-04-25,C1045,S2033,Electronics,1475.87,998.34,10850,45,1,2810.54
2024-05-27,C1151,S2116,Beauty,7220.85,2951.04,29204,241,10,13273.62
2024-04-30,C1113,S2086,Sports,14336.78,6213.76,116617,568,8,11943.99
2024-06-21,C1029,S2022,Home,5337.16,5337.16,53267,387,27,49939.67
2024-04-29,C1053,S2041,Fashion,10844.87,7846.85,83506,597,46,37901.48
2024-05-14,C1101,S2078,Fashion,2094.67,917.53,5579,72,6,4636.99
2024-06-12,C1118,S2091,Electronics,2288.72,659.27,8485,44,2,3979.84
2024-04-10,C1152,S2117,Beauty,6816.97,6816.97,58077,691,72,91864.3
2024-06-04,C1092,S2072,Sports,1039.65,387.37,4983,37,7,9543.92
2024-04-25,C1134,S2103,Fashion,4914.35,2808.0,29705,198,12,9246.39
2024-04-03,C1087,S2068,Beauty,508.24,241.93,2068,21,2,1997.25
2024-05-13,C1053,S2041,Fashion,10844.87,8014.14,73851,596,41,30693.34
2024-04-10,C1088,S2069,Home,3012.59,1291.19,10509,108,9,15681.58
2024-06-03,C1065,S2050,Home,4230.34,2206.11,40280,169,9,11313.5
2024-04-23,C1010,S2007,Fashion,9480.63,4268.83,19074,253,30,25056.31
2024-06-13,C1157,S2121,Fashion,559.41,286.84,4713,29,1,1117.17
2024-04-05,C1072,S2055,Electronics,29450.31,18339.18,130020,848,44,87991.5
2024-06-12,C1163,S2127,Fashion,812.97,678.57,4558,51,1,1144.62
2024-05-06,C1154,S2118,Beauty,2961.47,1122.28,12459,77,6,8660.03
2024-06-01,C1045,S2033,Electronics,1475.87,700.63,6010,27,2,5632.82
2024-04-26,C1142,S2109,Fashion,1424.76,872.79,4901,51,3,2749.67
2024-06-13,C1162,S2126,Fashion,5242.0,3717.29,20334,195,8,6609.87
2024-05-05,C1038,S2028,Electronics,3371.65,969.25,10216,59,1,2337.78
2024-04-09,C1087,S2068,Beauty,508.24,226.59,2148,18,0,0.0
2024-05-21,C1092,S2072,Sports,1039.65,467.98,6679,51,1,1276.59
2024-06-03,C1057,S2045,Electronics,3433.05,1405.22,27047,71,0,0.0
2024-06-16,C1132,S2102,Beauty,1755.9,633.88,4165,35,2,2011.65
2024-05-27,C1116,S2089,Beauty,1712.87,841.7,7920,68,1,1732.65
2024-06-02,C1154,S2118,Beauty,2961.47,972.91,10385,61,5,6757.57
2024-06-08,C1123,S2095,Electronics,853.95,361.97,2742,13,0,0.0
2024-04-20,C1036,S2026,Home,994.55,994.55,8942,81,2,4583.4
2024-05-23,C1085,S2066,Toys,1706.46,979.99,14746,132,9,6846.73
2024-06-07,C1095,S2075,Sports,1554.33,622.81,7221,41,6,8536.92
2024-04-13,C1062,S2048,Beauty,4084.32,3938.49,33450,290,10,12459.63
2024-06-15,C1016,S2012,Home,9001.07,9001.07,112810,825,62,102389.65
2024-06-07,C1089,S2070,Electronics,546.53,222.58,1050,9,0,0.0
2024-04-22,C1058,S2046,Electronics,4523.61,4523.61,34092,265,20,52847.78
2024-04-13,C1115,S2088,Beauty,1164.09,464.27,5898,47,2,2504.56
2024-06-12,C1136,S2104,Home,1983.86,1300.93,15768,103,8,13639.72
2024-05-12,C1107,S2082,Sports,324.12,324.12,4488,39,2,3272.86
2024-06-09,C1079,S2061,Sports,5386.43,2765.64,43006,245,15,24639.8
2024-06-20,C1085,S2066,Toys,1706.46,995.45,14833,118,3,1997.56
2024-05-01,C1093,S2073,Fashion,310.74,172.41,1674,16,1,918.81
2024-05-27,C1130,S2100,Sports,3584.28,1970.31,17038,112,3,3774.39
2024-05-03,C1095,S2075,Sports,1554.33,761.82,7639,47,2,3050.88
2024-04-08,C1103,S2080,Beauty,1414.63,667.11,7331,64,2,2324.86
2024-05-24,C1152,S2117,Beauty,6816.97,6816.97,57603,577,47,62254.01
2024-04-14,C1023,S2017,Home,810.55,438.54,4018,37,1,2159.91
2024-06-21,C1002,S2001,Electronics,673.77,268.96,2508,11,1,1771.86
2024-05-02,C1103,S2080,Beauty,1414.63,715.79,5917,58,5,5786.04
2024-05-28,C1129,S2099,Fashion,1156.66,712.75,8966,50,4,3135.23
2024-04-22,C1019,S2014,Toys,60.84,60.84,716,5,0,0.0
2024-06-17,C1114,S2087,Beauty,307.05,154.37,1095,9,2,2977.0
2024-05-28,C1101,S2078,Fashion,2094.67,1054.07,6445,74,4,3312.31
2024-04-20,C1123,S2095,Electronics,853.95,376.89,2933,15,1,2008.25
2024-06-07,C1149,S2115,Electronics,3925.63,1701.29,18505,92,2,4918.09
2024-05-08,C1100,S2078,Home,573.21,573.21,4314,32,0,0.0
2024-05-15,C1023,S2017,Home,810.55,535.35,6388,43,2,5094.39
2024-04-19,C1110,S2085,Beauty,794.74,794.74,6592,57,2,2644.74
2024-04-11,C1087,S2068,Beauty,508.24,278.26,2093,22,3,3113.09
2024-05-12,C1023,S2017,Home,810.55,432.46,3634,30,2,4540.12
2024-05-07,C1070,S2053,Sports,142.38,70.88,2182,9,0,0.0
2024-04-28,C1075,S2057,Fashion,1829.22,714.94,3275,41,1,1097.69
2024-04-16,C1082,S2063,Sports,4457.67,2708.76,33311,252,5,6979.55
2024-05-27,C1043,S2032,Home,1207.3,491.27,4981,37,1,1883.83
2024-05-02,C1029,S2022,Home,5337.16,5337.16,53810,437,23,42101.16
2024-05-20,C1091,S2071,Fashion,979.78,676.89,5526,46,3,1932.51
2024-06-16,C1064,S2049,Home,293.65,132.24,979,10,0,0.0
2024-06-15,C1074,S2057,Electronics,3077.61,865.71,4626,36,2,5260.28
2024-06-07,C1163,S2127,Fashion,812.97,630.3,3735,42,1,1233.93
2024-05-14,C1109,S2084,Home,10186.39,5112.6,52997,416,12,20442.9
2024-05-19,C1131,S2101,Beauty,3094.39,1322.66,7865,70,4,4558.17
2024-06-18,C1135,S2104,Electronics,1435.29,1342.88,11271,56,1,2269.9
2024-05-06,C1033,S2024,Electronics,558.64,237.51,3829,12,0,0.0
2024-06-05,C1129,S2099,Fashion,1156.66,727.39,8245,46,4,2980.66
2024-06-17,C1005,S2003,Beauty,1195.34,468.22,3156,26,0,0.0
2024-04-27,C1102,S2079,Beauty,6294.23,6294.23,59733,449,43,48372.59
2024-04-28,C1108,S2083,Home,2793.01,1360.84,13776,139,5,7702.07
2024-05-12,C1003,S2002,Sports,732.87,304.48,3802,31,1,1472.4
2024-05-23,C1054,S2042,Sports,1370.16,652.0,6394,54,2,2594.66
2024-05-23,C1028,S2021,Home,4175.95,2049.46,22447,163,9,14027.14
2024-04-02,C1025,S2019,Beauty,2255.05,1155.57,20740,83,6,7113.81
2024-04-11,C1115,S2088,Beauty,1164.09,487.34,5664,48,2,2596.06
2024-04-11,C1064,S2049,Home,293.65,142.81,1169,13,0,0.0
2024-06-05,C1118,S2091,Electronics,2288.72,686.12,10622,46,2,4212.79
2024-04-11,C1142,S2109,Fashion,1424.76,766.45,5190,47,6,5603.52
2024-05-22,C1062,S2048,Beauty,4084.32,4084.32,31055,263,9,12269.66
2024-05-31,C1023,S2017,Home,810.55,443.02,4018,31,1,2263.3
2024-06-13,C1153,S2118,Electronics,3184.97,1278.42,9217,56,7,16791.53
2024-04-19,C1076,S2058,Sports,911.67,318.76,4208,21,1,1364.37
2024-05-30,C1011,S2008,Electronics,2904.49,862.82,5111,40,1,2295.83
2024-05-27,C1104,S2081,Sports,3280.31,1424.23,15491,118,9,12114.66
2024-06-08,C1042,S2031,Beauty,1261.48,547.36,3241,40,0,0.0
2024-04-28,C1029,S2022,Home,5337.16,4804.49,49946,410,21,41083.79
2024-05-30,C1138,S2106,Beauty,2302.32,892.91,7699,68,9,12402.02
2024-05-28,C1002,S2001,Electronics,673.77,328.95,2694,14,3,5816.53
2024-05-28,C1091,S2071,Fashion,979.78,793.8,4550,53,3,2239.65
2024-04-04,C1053,S2041,Fashion,10844.87,6821.75,70294,513,35,27856.91
2024-05-23,C1107,S2082,Sports,324.12,324.12,4458,36,2,3240.32
2024-05-23,C1093,S2073,Fashion,310.74,187.6,1833,17,1,946.93
2024-04-08,C1019,S2014,Toys,60.84,60.84,554,5,0,0.0
2024-06-09,C1012,S2008,Sports,493.27,493.27,5560,43,0,0.0
2024-05-29,C1133,S2103,Beauty,5212.11,2617.8,31263,221,7,10170.85
2024-04-20,C1013,S2009,Sports,1732.7,625.25,9066,64,4,6998.81
2024-04-22,C1151,S2116,Beauty,7220.85,2575.13,27694,236,18,25092.61
2024-05-17,C1122,S2094,Beauty,11557.38,10932.34,78881,624,57,78318.02
2024-05-01,C1043,S2032,Home,1207.3,484.46,3958,42,0,0.0
2024-04-23,C1004,S2003,Electronics,382.12,382.12,4115,19,0,0.0
2024-06-01,C1099,S2077,Beauty,493.8,388.94,3047,34,2,3173.55
2024-06-23,C1023,S2017,Home,810.55,412.72,4042,29,1,2447.56
2024-05-29,C1119,S2092,Fashion,4462.32,2650.62,17201,179,5,4368.59
2024-05-20,C1071,S2054,Electronics,3528.49,1719.88,15132,71,7,19232.86
2024-05-03,C1112,S2086,Beauty,5328.38,5328.38,44976,379,35,60989.96
2024-04-28,C1105,S2081,Electronics,1392.46,1216.35,6650,52,4,11592.05
2024-04-04,C1082,S2063,Sports,4457.67,2151.59,25362,207,5,7499.18
2024-04-25,C1076,S2058,Sports,911.67,308.1,3043,19,0,0.0
2024-05-17,C1065,S2050,Home,4230.34,1934.01,26904,151,8,11176.24
2024-04-19,C1010,S2007,Fashion,9480.63,3629.75,22739,229,15,13807.8
2024-06-11,C1109,S2084,Home,10186.39,4745.73,47940,388,13,21039.38
2024-04-17,C1062,S2048,Beauty,4084.32,4084.32,40678,285,11,15207.04
2024-05-20,C1099,S2077,Beauty,493.8,468.08,2927,43,3,5115.74
2024-05-17,C1113,S2086,Sports,14336.78,6833.53,104949,584,10,14561.41
2024-04-26,C1103,S2080,Beauty,1414.63,640.03,5125,51,4,4251.58
2024-04-14,C1143,S2110,Sports,1197.67,494.99,12304,45,4,6784.37
2024-05-02,C1033,S2024,Electronics,558.64,260.35,4095,12,0,0.0
2024-05-28,C1133,S2103,Beauty,5212.11,2353.51,20039,195,7,12020.21
2024-05-23,C1076,S2058,Sports,911.67,385.81,3663,24,1,1488.92
2024-05-14,C1050,S2038,Fashion,6773.51,6773.51,38001,326,3,3084.33
2024-05-08,C1050,S2038,Fashion,6773.51,6773.51,36264,373,10,10398.56
2024-05-07,C1135,S2104,Electronics,1435.29,1435.22,15787,61,1,2495.75
2024-05-19,C1064,S2049,Home,293.65,127.05,992,10,0,0.0
2024-04-26,C1119,S2092,Fashion,4462.32,2747.62,23822,199,3,2485.08
2024-04-11,C1109,S2084,Home,10186.39,4232.21,49522,367,10,17013.62
2024-05-13,C1092,S2072,Sports,1039.65,393.31,5563,39,1,1241.96
2024-05-09,C1008,S2005,Fashion,4198.97,2372.91,26405,148,6,5639.63
2024-04-19,C1072,S2055,Electronics,29450.31,16207.08,96384,673,26,49284.22
2024-04-05,C1080,S2061,Toys,5727.31,2413.83,44333,284,18,10077.38
2024-06-17,C1144,S2111,Home,4587.29,4587.29,52475,320,14,20020.16
2024-06-13,C1042,S2031,Beauty,1261.48,489.99,2278,30,4,6555.92
2024-04-08,C1004,S2003,Electronics,382.12,382.12,3364,22,1,2802.92
2024-05-09,C1119,S2092,Fashion,4462.32,2456.76,16674,170,8,6324.06
2024-06-01,C1021,S2016,Beauty,29378.01,11558.24,135138,851,53,77798.65
2024-04-23,C1038,S2028,Electronics,3371.65,1428.79,13522,81,4,8819.59
2024-05-02,C1017,S2012,Electronics,11302.53,11302.53,95058,739,8,16147.07
2024-06-05,C1123,S2095,Electronics,853.95,440.66,2362,15,0,0.0
2024-05-04,C1078,S2060,Fashion,2938.67,1397.0,6976,121,3,2478.85
2024-05-12,C1131,S2101,Beauty,3094.39,1417.15,8267,77,7,8297.79
2024-05-28,C1041,S2031,Electronics,1653.81,519.15,3525,26,0,0.0
2024-05-19,C1008,S2005,Fashion,4198.97,2265.47,28787,152,9,10074.74
2024-04-24,C1113,S2086,Sports,14336.78,6578.7,131585,641,23,34348.21
2024-06-01,C1114,S2087,Beauty,307.05,142.25,946,8,1,1300.11
2024-05-06,C1118,S2091,Electronics,2288.72,885.81,12116,66,2,3867.18
2024-05-22,C1011,S2008,Electronics,2904.49,966.59,6782,46,3,7860.06
2024-04-16,C1152,S2117,Beauty,6816.97,6816.97,46071,647,88,112827.59
2024-04-14,C1114,S2087,Beauty,307.05,155.58,1212,12,1,1484.26
2024-05-31,C1141,S2108,Fashion,1130.98,750.67,6234,53,2,1789.65
2024-04-24,C1043,S2032,Home,1207.3,475.96,4220,37,3,5276.75
2024-04-11,C1056,S2044,Beauty,690.55,339.87,1537,21,2,2858.78
2024-05-31,C1137,S2105,Home,4796.02,2502.01,21955,149,8,15929.3
2024-05-18,C1117,S2090,Home,4065.85,2171.41,40472,201,3,4415.13
2024-06-09,C1124,S2096,Electronics,6094.33,4227.64,73038,312,13,37490.06
2024-04-01,C1151,S2116,Beauty,7220.85,2750.83,24855,287,18,27647.87
2024-06-13,C1163,S2127,Fashion,812.97,546.89,3871,39,3,3924.7
2024-05-30,C1145,S2112,Beauty,605.97,238.93,2603,26,1,1151.89
2024-05-17,C1073,S2056,Electronics,8751.38,8592.88,31489,277,24,56991.16
2024-04-10,C1058,S2046,Electronics,4523.61,4523.61,32910,299,18,41676.94
2024-06-03,C1042,S2031,Beauty,1261.48,653.7,4164,47,3,5381.89
2024-05-20,C1030,S2022,Beauty,7500.86,7500.86,54904,525,37,37124.18
2024-04-14,C1086,S2067,Fashion,382.75,134.3,515,7,0,0.0
2024-05-01,C1030,S2022,Beauty,7500.86,7500.86,76104,623,41,37182.73
2024-05-02,C1037,S2027,Electronics,4657.49,1757.89,13014,110,7,18441.17
2024-06-04,C1023,S2017,Home,810.55,465.04,3329,32,0,0.0
2024-04-01,C1121,S2093,Beauty,1015.91,481.09,4172,35,5,6067.77
2024-06-02,C1058,S2046,Electronics,4523.61,3549.71,22038,166,8,21311.58
2024-05-08,C1011,S2008,Electronics,2904.49,1030.0,6217,46,3,6865.84
2024-06-17,C1163,S2127,Fashion,812.97,696.72,4055,49,4,4889.93
2024-05-17,C1063,S2049,Electronics,127.25,110.07,975,7,0,0.0
2024-06-05,C1074,S2057,Electronics,3077.61,889.28,5121,38,4,10444.19
2024-06-01,C1156,S2120,Fashion,1805.81,945.78,8694,58,2,2241.52
2024-05-09,C1003,S2002,Sports,732.87,464.5,5818,46,2,2870.14
2024-06-18,C1049,S2037,Electronics,7592.47,6889.87,61549,372,26,64825.16
2024-05-31,C1086,S2067,Fashion,382.75,222.76,1283,12,0,0.0
2024-06-07,C1081,S2062,Electronics,704.63,312.63,2739,15,0,0.0
2024-04-06,C1128,S2098,Beauty,535.92,298.91,2494,30,3,4118.73
2024-04-04,C1040,S2030,Sports,1782.54,758.22,9816,80,4,8272.62
2024-05-27,C1035,S2025,Beauty,1898.35,858.67,8448,47,2,2369.82
2024-06-07,C1034,S2025,Electronics,738.75,655.78,7716,31,0,0.0
2024-04-16,C1085,S2066,Toys,1706.46,1123.95,16082,147,4,2583.91
2024-04-27,C1123,S2095,Electronics,853.95,417.17,3722,17,1,2126.7
2024-05-04,C1037,S2027,Electronics,4657.49,1370.68,10052,89,6,17598.95
2024-05-16,C1131,S2101,Beauty,3094.39,1687.4,10486,87,3,3229.64
2024-04-06,C1143,S2110,Sports,1197.67,444.9,7706,40,1,1498.33
2024-04-26,C1139,S2107,Electronics,9837.11,5190.74,86992,353,11,27282.64
2024-06-22,C1037,S2027,Electronics,4657.49,1006.19,5825,59,3,8587.41
2024-05-08,C1085,S2066,Toys,1706.46,1225.65,14429,162,9,6592.81
2024-05-24,C1017,S2012,Electronics,11302.53,11302.53,92983,629,7,15993.95
2024-06-13,C1053,S2041,Fashion,10844.87,8820.42,85797,631,44,33910.94
2024-05-25,C1130,S2100,Sports,3584.28,1750.72,12873,107,1,1299.12
2024-06-16,C1070,S2053,Sports,142.38,73.72,2285,9,0,0.0
2024-05-06,C1012,S2008,Sports,493.27,493.27,5655,46,0,0.0
2024-04-05,C1117,S2090,Home,4065.85,2744.18,43894,248,12,16134.72
2024-05-06,C1085,S2066,Toys,1706.46,1160.45,15188,162,12,8348.54
2024-05-07,C1031,S2023,Beauty,2412.31,789.32,5653,61,12,13153.21
2024-06-15,C1021,S2016,Beauty,29378.01,9724.58,,720,30,46242.39
2024-04-19,C1128,S2098,Beauty,535.92,364.75,3178,35,0,0.0
2024-04-08,C1151,S2116,Beauty,7220.85,3284.51,40320,350,15,19939.0
2024-06-13,C1137,S2105,Home,4796.02,2464.75,21243,137,4,7865.51
2024-05-20,C1139,S2107,Electronics,9837.11,4290.74,53604,278,20,54679.18
2024-05-11,C1032,S2023,Sports,1915.52,829.66,5494,66,1,1487.03
2024-05-19,C1049,S2037,Electronics,7592.47,6914.25,63632,471,29,69603.79
2024-05-10,C1138,S2106,Beauty,2302.32,1075.45,10150,83,4,5634.79
2024-04-11,C1101,S2078,Fashion,2094.67,788.81,5116,66,4,3558.12
2024-05-05,C1071,S2054,Electronics,3528.49,1303.22,12667,65,4,9725.54
2024-05-18,C1022,S2017,Electronics,806.78,381.08,4657,24,3,7952.65
2024-04-08,C1139,S2107,Electronics,9837.11,4706.75,74643,349,30,76090.16
2024-04-11,C1149,S2115,Electronics,3925.63,2074.06,30687,139,2,4867.58
2024-05-25,C1078,S2060,Fashion,2938.67,1809.39,7628,130,9,8648.8
2024-04-04,C1063,S2049,Electronics,127.25,127.25,1656,10,0,0.0
2024-06-19,C1013,S2009,Sports,1732.7,787.6,12247,72,2,3494.09
2024-04-21,C1146,S2113,Electronics,1070.76,429.92,5240,24,0,0.0
2024-06-15,C1031,S2023,Beauty,2412.31,588.91,4121,39,5,6342.4
2024-05-31,C1127,S2098,Electronics,285.61,277.95,1734,14,0,0.0
2024-05-17,C1059,S2046,Beauty,3676.12,3676.12,44750,469,9,13716.91
2024-06-17,C1082,S2063,Sports,4457.67,2602.35,31314,247,11,14631.15
2024-04-22,C1032,S2023,Sports,1915.52,926.76,6953,89,14,20166.67
2024-06-08,C1130,S2100,Sports,3584.28,1910.8,13579,106,3,3392.85
2024-06-09,C1140,S2107,Beauty,9463.27,3261.92,32379,253,11,13854.05
2024-05-29,C1022,S2017,Electronics,806.78,438.55,4284,27,2,5345.69
2024-05-28,C1110,S2085,Beauty,794.74,789.69,5677,48,2,2937.91
2024-06-16,C1074,S2057,Electronics,3077.61,922.37,5994,37,4,11830.35
2024-06-04,C1055,S2043,Beauty,2688.05,913.76,5992,54,1,1237.56
2024-04-05,C1114,S2087,Beauty,307.05,209.84,2481,17,2,2912.38
